Fire Number,Incident Name,Fire Start Date,Initial Report Date,Fire Out Date,Region,Zone,County,Municipality,Cause,NFFL Fuel Model,Complex Type,Acreage,Latitude,Longitude,Ownership,State Land Unit Name,Total,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,Reporting Ranger,Fire Report Method,Railroad Name,Location 1,New York Zip Codes,Counties,NYS Municipal Boundaries
NYS-2018-0130,Floodwood Site # 10 Fire,2018-10-26T00:00:00.000,2018-10-26T00:00:00.000,2018-10-26T00:00:00.000,5,5A,FRANKLIN,SANTA CLARA,Campfire, 7 - Brush - Understory,5,0.1,44.20416,-74.22834,Forest Preserve,Saranac Lake Wild Forest,0,0,0,0,0,0,0,"Evans,Peter H",DEC Dispatch,,"{'latitude': '44.20416', 'longitude': '-74.22834'}",303,621,183
NYS-2018-0129,Whiskey Field Rx,2018-10-25T00:00:00.000,2018-10-25T00:00:00.000,2018-10-25T00:00:00.000,1,1A,SUFFOLK,BROOKHAVEN,Prescribed Fire, 3 - Grass - Heavy,5,9.5,40.90923,-72.9458,State Forest/RF Area,Rocky Point,0,0,0,0,0,0,0,"Carpenter,Timothy J",Ranger Patrol,,"{'latitude': '40.90923', 'longitude': '-72.9458'}",1314,2179,1022
NYS-2018-0128,Iota Rx,2018-10-18T00:00:00.000,2018-10-18T00:00:00.000,2018-10-18T00:00:00.000,4,4A,ALBANY,COLONIE,Prescribed Fire, 2 - Grass - Understory,5,7,42.74409,-73.89731,Other Government,Albany Pine Bush,0,0,0,0,0,0,0,"Seeley,Jason J",Ranger Patrol,,"{'latitude': '42.74409', 'longitude': '-73.89731'}",72,2030,834
NYS-2018-0127,Stillwater 42 Island,2018-09-18T00:00:00.000,2018-09-18T00:00:00.000,2018-10-04T00:00:00.000,6,6B,HERKIMER,WEBB,Campfire, 7 - Brush - Understory,5,0.1,43.86613,-75.00585,Forest Preserve,Independence river wild forest,0,0,0,0,0,0,0,"Savarie,Matthew J",Other,,"{'latitude': '43.86613', 'longitude': '-75.00585'}",571,2088,666
NYS-2018-0126,Woodhull Lake fire,2018-09-15T00:00:00.000,2018-09-15T00:00:00.000,2018-09-16T00:00:00.000,6,6C,HERKIMER,WEBB,Campfire, 7 - Brush - Understory,5,0.1,43.59837,-75.00669,Forest Preserve,Black River Wildforest,0,0,0,0,0,0,0,"Hoag,Gregory W",911 Dispatch,,"{'latitude': '43.59837', 'longitude': '-75.00669'}",1279,2088,666
NYS-2018-0125,Legion Fire,2018-09-13T00:00:00.000,2018-09-13T00:00:00.000,2018-09-15T00:00:00.000,5,5B,CLINTON,SARANAC,Debris Burning, 6 - Brush - Mixed/Regeneration,5,2.3,44.61529,-73.77964,Private Property,,0,0,0,0,0,0,0,"Booth,Jared T",Ranger Patrol,,"{'latitude': '44.61529', 'longitude': '-73.77964'}",302,2038,2
NYS-2018-0124,Polliwog Fire ,2018-09-08T00:00:00.000,2018-09-08T00:00:00.000,2018-09-10T00:00:00.000,5,5A,FRANKLIN,SANTA CLARA,Campfire, 8 - Timber - Light Hardwood Litter,5,0.1,44.33436,-74.35028,Forest Preserve,Saranac Lakes Wild Forest ,0,0,0,0,0,0,0,"Evans,Peter H",Other,,"{'latitude': '44.33436', 'longitude': '-74.35028'}",303,621,179
NYS-2018-0123,Tongue Mountain Fire ,2018-09-08T00:00:00.000,2018-09-08T00:00:00.000,2018-09-11T00:00:00.000,5,5F,WARREN,BOLTON,Campfire, 7 - Brush - Understory,5,0.1,43.59848,-73.61794,Forest Preserve,Lake George Wild Forest ,0,0,0,0,0,0,0,"Bodnar,Michael J",Other,,"{'latitude': '43.59848', 'longitude': '-73.61794'}",,2183,826
NYS-2018-0122,Bear Cub Fire ,2018-09-07T00:00:00.000,2018-09-07T00:00:00.000,2018-09-08T00:00:00.000,5,5C,ESSEX,NORTH ELBA,Lightning, 8 - Timber - Light Hardwood Litter,5,0.1,44.22822,-73.9985,Private Property,,0,0,0,0,0,0,0,"Evans,Peter H",Fire Department,,"{'latitude': '44.22822', 'longitude': '-73.9985'}",275,2084,430
NYS-2018-0121,Outlet 2 Fire,2018-09-04T00:00:00.000,2018-09-04T00:00:00.000,2018-09-07T00:00:00.000,5,5A,HAMILTON,LONG LAKE,Campfire, 7 - Brush - Understory,5,0.1,43.87841,-74.60239,Forest Preserve,Sargent Ponds Wild Forest ,0,0,0,0,0,0,0,"Waters,James ",DEC Dispatch,,"{'latitude': '43.87841', 'longitude': '-74.60239'}",1362,622,870
